,Unnamed: 0,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies,preprocessed
32,32,tenang pak prabowo.... sallam dari bali,Mlbb Azka,positif,,,tenang prabowo  sallam bal
33,33,saya bukan pendukung bapak prabowo tapi setelah saya nonton video ini pendapat saya hanya bapak prabowo saja yang tulus apa adanya tanpa dibuat2 baik itu dalam bersikap ataupun berkata2 pada saat berinteraksi dengan teman2 di UGM,andy setiawan,positif,,,dukung prabowo nonton video dapat prabowo tulus sikap interaksi teman ugm
34,34,"Yah presiden nya gak bisa ngapa ngapain, karena dia cuma diusung partai jadi presidennya gak guna, kalo prabowo partai sendri jadi kaga ada yang ngatur",Randy Rahmadan,positif,,,yah presiden nya gak ngapa ngapain  usung partai presiden gak  kalo prabowo partai sendri kaga ngatur
35,35,"Pak ganjar gaya bicaranya dalam menjawab pertanyaan ko kaya pelawak,?",Orang kecil,,negatif,,pak ganjar gaya bicara ko kaya lawak  
36,36,"dari Ketiga Capres ...yg Paling OK adalah Anis Baswedan ..Insya Allah : Sholeh, Berilmu, Amanah,Secara Fisik sangat Pantas Menjadi Presiden...",Adi@manyaran,,,positif,tiga capres  yg paling ok anis baswedan  insya allah  sholeh  beril  amanah  cara fisik pantas jadi presiden 
37,37,Pilih prabowo kalau g gt Ganjar 🎉🎉🎉,Erni Ibuke Gavi,positif,positif,,pilih prabowo g gt ganjar 
38,38,Insya allah pak anis klo jadi presiden keluarganya ga mabuk jabatan ingat pak harto punya punya semua tapi anak2nya tetap pengusaha,Biar Sepuluh,,,positif,insya allah anis klo presiden keluarga ga mabuk jabat harto anak usaha
39,39,Kallo Prabowo masuk presiden Indonesia tidak aman akan di perang terus,Sensi Jeharut,negatif,,,kallo prabowo masuk presiden indonesia aman perang
40,40,Siapapun Presidennya semoga tidak cuma janji2 manis semoga ada bukti nyata & semoga Indonesia sll menjunjung tinggi Bhineka Tunggal Ika🙏🏻,Vio Ronauli,,,,siapa presiden moga janji manis moga bukti nyata  moga indonesia sll junjung bhineka tunggal ika
41,41,"Maaf buat pak anis coba ngomongnya jangan kota kota trus kami ini diamnya di desa bukan dikota,dan bahasanya coba pake bahasa yg mudah di pahami kami ini orang awam",Sultan Azmi,,,negatif,maaf anis coba ngomongnya kota kota trus diam desa kota  bahasa coba pake bahasa yg mudah paham orang awam
42,42,"Gw pilih pa probowo bahkan dari jokowi mash jdi capres, dia tidak mengiraukan posisinya sebagai lawan partai dan ttap dengan iklas jdi mentri keamanan di era jokowi. Terlihat jelas keiklasannya beliau, cuma era jokowi tidak ada oposisi karena prabowo memilih merangkul dan menjadi bagian dari kabinet bapa jokowi terlepas dari kekecewaan semua pendukungnya dahulu. 

Aku agak kecewa karena cawapresnya Gibran, tapi klo dipikir2 emng kenapa kalo Gibran? Dia anak presiden jokowi yg mungkin aja dia punya cara pandang dan pendidikan seperti halnya jokowi, rasanya seperti prabowo bergabung dengan jokowi sendiri. Toh solo mengalami pertumbuhan ekonomi yg cukup cepat di bawah pimpinan Gibran. Indonesia juga mengalami kemajuan di era jokowi. Tidak terasa seperti negara autopilot seperti era2 sebelum jokowi.

Klo masalah dinasty jokowi menurut gw kaga sih, jokowi mundur jdi ketum partai, kaesang pindah ke PSI tidak mengikuti jejak bapany di partai yg ada badakny. Sekarang Gibran berdiri sendiri mendampingi pa prabowo. Jdi menurut gw anak2 jokowi punya prinsip dan ideologiny masing2.",mei susilawati,positif,,,gw pilih pa probowo jokowi mash jdi capres  kirau posisi lawan partai ttap iklas jdi tri aman era jokowi  lihat keiklasannya beliau  era jokowi oposisi prabowo pilih rangkul kabinet bapa jokowi lepas kecewa dukung  aku kecewa cawapresnya gibran  klo pikir emng kalo gibran  dia anak presiden jokowi yg aja pandang didik hal jokowi  prabowo gabung jokowi  toh solo alami tumbuh ekonomi yg cepat pimpin gibran  indonesia alami maju era jokowi  tidak negara autopilot era jokowi  klo dinasty jokowi gw kaga sih  jokowi mundur jdi tum partai  kaesang pindah psi ikut jejak bapany partai yg badakny  sekarang gibran diri damping pa prabowo  jdi gw anak jokowi prinsip ideologiny 
43,43,Jawa timur prabowo gibran,Robi Bendeng,positif,,,jawa timur prabowo gibran
44,44,Pak Ganjar di tanya apa jawab apa,geminigurls,,negatif,,pak ganjar
45,45,"Nih gue kasi list hasil2 kerja dari pak anis ya
1. Memperluas kepesertaan BPJS masyarakat DKI dgn cara proaktif tdk menunggu dr warga sampai hampir 100%
2. Mengadakan air bersih di daerah kepulauan seribu dan jg membangun pasar induk didaerah kepulauan seribu tersbut, shingga harga pangan didaerh tsb sama rata dgn daerah lainnya di DKI
3. Melonggarkn aturan2 shingga smua UMKM lvel kecil mnengah bisa mndpatkn izin usaha shingga bsa msuk pasar online. Trmsuk melakukn pendampingn kpda org2 yg mau step2 usaha dan bantuan modal
4. Meluncurkn aplksi harga pasar shingga hrga psar di DKI jadi terkontrol
5. Membrikn krtu lansia dan kartu khusus buat disabilitas yg bsa dpt bantuan uang dan bntuan2 pada fasilitas umum
6. Mlkukn trobosn hkum utk warga tnah merah yg tlah digusur
7. Pembangunan masif trotoar dan jalur speda
8. Pembangunan taman2 dgn konsep park (bisa utk bermain) yg dlunya konsep garden (hanya bsa dinikmati))) 9. Pmbangunan JPO yg cantik yg sklian mnjdi ruang ke-3 (public space) smua kalangan
10. Mengeluarkn bnyak skli IMB rumah ibdah gereja dan rumh ibdah slain masjid krna slama ber tahun2 sangt sush dibrikn
11. Membngun rumh ibdah khusus utk umat hindu tamil pertama di jakarta
12. Membngun tmpt kremasi umum pertma bagi umat hindu karna slama ini rakyt kecil sngt sush mendpatknnya karna biaya yg sngat mahal
13. Membngun stadium megah JIS (Jakarta Internasional Stadion)
14. Membrikn insentif fiskal bagi pemilik mobil listrik brupa bebas aturan ganjil genap dan jg ada kringan pajak (bukn berupa subsidi beli mobil) 
15. Membngun skolah percontohan dgn konsep green building dgn nma skolah Net Zero
16. Merenovasi gedung TIM 
17. Menolak reklamasi pulau dan utk 2 pulau yg sudh trlnjur dibangun, skrg sudh dialih fungsikan mnjdi public space yg dlunya dibangun utk private space 
18. Mengadakan balap formula E sbg promo pariwisata sekaligus mningkatkn awareness tntng mobil masa dpan yg berbasis listrik
19. Membngun 5 lapangan bola sbg fasilitas umum dgn standar FIFA
20. Merevitalisasi kota tua Batavia
21. Membebaskan pajak bangunan  (PBB) bagi para pensiunan2 guru, purnawirawan dan para pejuang
22. Sumur resapan utk mengatasi msalah banjir, sumur resapan ini walaupun banyak yg nyinyir tapi terbukti dicontoh jg oleh kota2 lain termasuk di IKN
23. Bekerjasma dgn ptani2 di jawa dan berbgai daerah lain gunanya utk memasok kbutuhn beras di DKI shingga stok beras terjaga
Dan blum lg begitu bnyak penghargaan dari dlam negeri dan internasional yg diterima oleh pak anis slama menjabat sbg gubernur",Devita Yani Yogiswari,,,positif,nih gue kasi list hasil kerja anis ya  luas serta bpjs masyarakat dki dgn proaktif tdk tunggu dr warga   ada air bersih daerah pulau ribu jg bangun pasar induk daerah pulau ribu tersbut  shingga harga pangan didaerh tsb dgn daerah dki  melonggarkn atur shingga smua umkm lvel mnengah mndpatkn izin usaha shingga bsa msuk pasar online  trmsuk melakukn pendampingn kpda org yg step usaha bantu modal  meluncurkn aplksi harga pasar shingga hrga psar dki kontrol  membrikn krtu lansia kartu khusus disabilitas yg bsa dpt bantu uang bntuan fasilitas  mlkukn trobosn hkum utk warga tnah merah yg tlah gusur  bangun masif trotoar jalur speda  bangun taman dgn konsep park  utk main  yg dlunya konsep garden  bsa nikmat     pmbangunan jpo yg cantik yg sklian mnjdi ruang ke-  public space  smua kalang  mengeluarkn bnyak skli imb rumah ibdah gereja rumh ibdah slain masjid krna slama ber sangt sush dibrikn  membngun rumh ibdah khusus utk umat hindu tamil jakarta  membngun tmpt kremasi pertma umat hindu karna slama rakyt sngt sush mendpatknnya karna biaya yg sngat mahal  membngun stadium megah jis  jakarta internasional stadion   membrikn insentif fiskal milik mobil listrik brupa bebas atur ganjil genap jg kring pajak  bukn subsidi beli mobil   membngun skolah contoh dgn konsep green building dgn nma skolah net zero  renovasi gedung tim  tolak reklamasi pulau utk pulau yg sudh trlnjur bangun  skrg sudh alih fungsi mnjdi public space yg dlunya bangun utk private space  ada balap formula e sbg promo pariwisata mningkatkn awareness tntng mobil dpan yg bas listrik  membngun lapang bola sbg fasilitas dgn standar fifa  revitalisasi kota tua batavia  bebas pajak bangun  pbb  pensiun guru  purnawirawan juang  sumur resap utk atas msalah banjir  sumur resap yg nyinyir bukti contoh jg kota ikn  bekerjasma dgn ptani jawa berbgai daerah guna utk pasok kbutuhn beras dki shingga stok beras jaga dan blum lg bnyak harga dlam negeri internasional yg terima anis slama jabat sbg gubernur
46,46,"Waduh pak Anis gk ingat janjinya ketika jadi gubernur DKI, janji DP 0 persen, bukan menambah bagus DKI,malah di acak2,bikin resapan menjadi jebakan Bedmen.dan masih banyak lagi",Philip Haddy,,,negatif,waduh anis gk janji gubernur dki  janji dp persen  tambah bagus dki  acak  bikin resap jebak bedmen dan
47,47,Prabowo Gibran Terbaik RI 2024-2029❤❤,Kang Dendi Maulana Channel,positif,,,prabowo gibran baik ri -
48,48,pak prabowo membuat sya menangis berseduh seduh. tp aku tak bisa berpindah dr pak Anis karna memang dr dulu belum.masuk calon presiden sdh sya pilih semua saudar saudar sya pilih pak anis. kecuali papa sya dia pilih pak prabowo. tp sya jg mendokan prabowo jadi presiden.,Studio465,positif,,positif,prabowo sya menang seduh seduh  tp pindah dr anis karna dr belum masuk calon presiden sdh sya pilih saudar saudar sya pilih anis  kecuali papa sya pilih prabowo  tp sya jg dok prabowo presiden 
49,49,siapapun yg jd presiden nya sy berhrp.brantas itu premanisme..koruptor..begal/klitih dijalan..supaya negri ini aman...,HenZ SRigala,,,,yg jd presiden nya sy berhrp brantas preman  koruptor  begal klitih jalan  negri aman 
50,50,PRABOWO - GIBRAN ❤❤❤,Shevadiego Syani,positif,,,prabowo - gibran 
51,51,"mudah""an tiap pemilu ada acara sprt ini biar qta tau siapa yg pantas jdi presiden n wakil presiden jgn asal pilih pilih Anies Baswedan n Muhaimin Iskandar ....",Agus Hidayat,,,positif,mudah  an milu acara sprt biar qta tau yg jdi presiden n wakil presiden jgn pilih pilih anies baswedan n muhaimin iskandar 
52,52,"awalnya mau pindah ke pak anies,, tapi setelah paparan dan refleksi pak prabowo jadi makin yakin pilih beliau. jawaban yg nyata dan program yang masuk akal. Terutama ttg isu depresi dan mental health, yg harus dibenahi dari akarnya yaitu mulai dari ibu mengandung, perbaikan gizi, sehingga akan menghasilkan generasi yg kuat fisik dan mental. kesejahteraan yg merata dgn akses pendidikan yg mudah dan berkualitas sehingga tidak ada lagi istilah di ""kotak-kotak"" kan. Seru juga kalo disekolah anak ada makan siang gratis. Dari penyampaian ketiga capres saya menjadi semakin mengerti, bahwa memimpin bangsa ini bukan hanya dengan gagasan dan ide semata. Karna itu semua akan dikerjakan bersama dgn orang2 yg intelektual dan berkompeten di bidangnya, tapi kita juga butuh pemimpin dgn ketegasan, keberanian, dan nasionalisme yang tinggi utk membawa Indonesia.",suri purboyo,positif,,,pindah anies   papar refleksi prabowo pilih beliau  yg nyata program masuk akal  utama ttg isu depresi mental health  yg benah akar kandung  baik gizi  hasil generasi yg kuat fisik mental  sejahtera yg rata dgn akses didik yg mudah kualitas istilah  kotak  kan seru kalo seko anak makan siang gratis  dari sampai tiga capres erti  pimpin bangsa gagas ide  karna dgn orang yg intelektual kompeten bidang  butuh pimpin dgn tegas  berani  nasionalisme utk bawa indonesia 
53,53,"Jangan lupa kawan kawan kata kata hanyalah kata kata belum tentu manisnya kata kata saat debat meskipun mudah dimengerti akan dengan mudah diimplementasikan, kita pilih sesuai nurani saja.",Yuliana Rahma,,,,jangan lupa kawan kawan manis debat mudah erti mudah implementasi  pilih sesuai nurani 
54,54,"Bapak Prabowo  ❤❤, Pemimpin yang ideal untuk Indonesia setelah Pak De ( Pak Jokowi)❤",Dominique Ngadu,positif,,,bapak prabowo   pimpin ideal indonesia pak de  pak jokowi  
55,55,Aku sangat antusiasi dan sangat kagum sama sosok  prabowo tda putus asah untuk memperjuangkan hak2 rakyat untuk ekonominya yg di bawah rata2 semoga sja  sosok seperti prabowo yg berani untuk memperjuangkan rakyat indonesia cara bicaranya kelihatan tegas tapi hati nuraninya bisa sy rasakan untuk indonesia lebih baik lagi aamiin,David Daviddjama,positif,,,aku antusias kagum sosok prabowo tda putus asah juang hak rakyat ekonomi yg moga sja sosok prabowo yg berani juang rakyat indonesia bicara hati nurani sy rasa indonesia aamiin
56,56,Pilih anis ( surya paloh) pilih ganjar(megawati) cari yg memng yg bnyk modal aja capres paling kaya,Suci Relawati,,,,pilih anis  surya paloh  pilih ganjar  megawati  cari yg memng yg bnyk modal aja capres kaya
57,57,"Pak Anies,bahas mau mempermudah pembiayaan perbankan informal atau mikro jadi  mudah agar dpt menciptakan lapangan pekerjaan,niatnya si sangat bagus tapi ko jadi inget waktu dia buat dp 0% buat rumah,nyatanya buat warga DKI disana jadi susah,gw hawatir indonesian  2024 to 2029 gagal jadi negara maju cuma karna modal JANJI politik.",Ami 88,,,negatif,pak anies  bahas mudah biaya perban informal mikro mudah dpt cipta lapang kerja  niat si bagus ko inget dp  rumah  warga dki sana susah  gw hawatir indonesian to gagal negara maju karna modal janji politik 
58,58,MAJU PRABOWO 🔥,Ciesa Mikha,positif,,,maju prabowo 
59,59,Pendukung Pak Ganjar..Richard Gere Indonesia...mana suaranyaaaa.....😍,Febby Yanti,,positif,,dukung pak ganjar  richard gere indonesia  suaranyaaaa  
60,60,"Anies presiden 2024❤❤.. 
Pemimpin yg pintar banyak prestasi dan sangat bijak dalam menjawab..
Jangan sampai kesempatan ini sia sia , jadikan orang pintar berakhlak dan berkarisma ini pemimpin bangsa..😊",AKASA CHANNEL,,,positif,anies presiden   pimpin yg pintar prestasi bijak  jangan sempat sia sia  jadi orang pintar akhlak karisma pimpin bangsa  
61,61,The best pak prabowo❤,One Five Nine,positif,,,the best prabowo
62,62,😂😂 pak Ganjar partai anda tuh yg harus di priksa ..ma banteng takut marah ea😂😂😂,Kang Goblek,,negatif,, ganjar partai tuh yg priksa  ma banteng takut marah ea
63,63,Rata2 komennya disini kagum sm pa anies ya,Alifa TLM,,,positif,rata komennya kagum sm pa anies ya
64,64,"Pak Anies  luar biasa....  
Semoga Ada perubahan",Motivasi Sanad tv,,,positif,pak anies  moga ada ubah
65,65,"Saya yakin  pak Ganjar menang KALAU tidak dari partai MERAH,",Gacor Slot,,positif,,saya ganjar menang kalau partai merah 
66,66,"Jakarta di tangan pak Anies bener-bener bersahabat sama masyarakat. Transportasi dipermudah, halte dipercantik, angkot jadi lebih nyaman dgn jaklingko. Trotoar yang dulu nya dihina nyempitin jalan dll, ternyata berdampak baik buat para pejalan kaki karena mereka jadi lebih nyaman. Halte bundaran HI cantik banget pak! tapi ini bukan hanya tentang cantik, tapi konsep kesetaraan yang pak Anies gaungkan, beliau kepengen setiap warganya bisa ngerasain view indah dgn background patung selamat datang tanpa harus makan di hotel berbintang sekitar sana. trs juga taman dan ruang terbuka hijau yang kata pak Anies bisa jadi ruang ketiga alias tempat ngumpulnya masyarakat, dan alhasil orang2 jakarta jadi seneng nongkrong dan bincang-bincang disana, jakarta jauh lebih hidup. Inget banget sebelum pak Anies jadi gubernur, sepanjang jalan protokol ngga boleh motor lewat, saya kalau ke GBK aja kudu muter lewat dalem. Pas zaman bapak.. motor jd boleh lagi nikmatin jalanan dgn view gedung pencakar langit yang keren abis apalagi kalau malem. OH LUPA, di zaman bapak juga gada tuh istilah bundaran Hi tenggelem air susu coklat pak hihi. Pak Anies orang yang gencar banget ngajak masyarakat kurangi polusi kendaraan. Dan wajah baru kota tua jadi salah satu karya nya yang bikin saya kagum. inget banget se-semrawut apa kota tua dulu pak, bikin males buat kesana. tapi sekarang MasyaAllah, ada live musiknya kalau malam, lebih luas area pejalan kaki nya, bersih. Dan saya suka banget konsep kota kolaborasi ala bapak. Ngerasa diajak banget pak buat ikut andil buat benahin jakarta. Masyarakat semuanya dirangkul, se adem itu Jakarta pak. Duh, Masih banyak lagi pak yang bikin bangga. Ini saya ngetik jujur banget pak, sebangga itu bisa ngerasain jakarta era Anies Baswedan. Heran bgt sama orang yang bilang bapak ngga becus dan ngga bisa kerja. Padahal yakin sayaa mereka juga pasti udah ngerasain dampak positif hasil kerja bapak dan tim. Saya doakan pak, semoga Allah meridhoi niat ikhlas bapak untuk memimpin negeri ini. bismillah pak Amin!!",Shr,,,positif,jakarta tangan anies bener-bener sahabat masyarakat  transportasi mudah  halte cantik  angkot nyaman dgn jaklingko  trotoar nya hina nyempitin jalan dll  dampak pejal kaki nyaman  halte bundar hi cantik banget  cantik  konsep tara anies gaung  beliau ken warga ngerasain view indah dgn background patung selamat makan hotel bintang  trs taman ruang buka hijau anies ruang tiga alias ngumpulnya masyarakat  alhasil orang jakarta neng nongkrong bincang sana  jakarta hidup  inget banget anies gubernur  jalan protokol ngga motor  gbk aja kudu muter dalem  pas zaman  motor jd nikmatin jalan dgn view gedung cakar langit keren abis malem  oh lupa  zaman gada tuh istilah bundar hi tenggelem air susu coklat hihi  pak anies orang gencar banget ngajak masyarakat kurang polusi kendara  dan wajah kota tua salah karya nya bikin kagum  inget banget se-semrawut kota tua  bikin males kesana  masyaallah  live musik malam  luas area pejal kaki nya  bersih  dan suka banget konsep kota kolaborasi ala  ngerasa ajak banget andil benahin jakarta  masyarakat rangkul  adem jakarta  duh  masih bikin bangga  ini ngetik jujur banget  bangga ngerasain jakarta era anies baswedan  heran bgt orang bilang ngga becus ngga kerja  padahal sayaa udah ngerasain dampak positif hasil kerja tim  saya doa  moga allah meridhoi niat ikhlas pimpin negeri  bismillah amin  
67,67,Prabowo gibran R1,Putry Da gama,positif,,,prabowo gibran r
68,68,"Gagasan GK ada manfaatnya...
Tetap kalah dgn Prabowo yg punya m.gibran SDH cukup.

M.Gibran py segalanya
Algojo paman MK 
Mentor ulung BP.presiden
Semua SDH terbukti dgn kado terindah buat sang keponakan.",Salam Gama,negatif,,,gagas gk manfaat  tetap kalah dgn prabowo yg m gibran sdh  m gibran py algojo paman mk mentor ulung bp presiden semua sdh bukti dgn kado indah sang keponakan 
69,69,Pak Anies jadi mentri aja Pakkk....,beritasaya,,,negatif,pak anies tri aja pakkk 
70,70,"tahun 2019 saya tidak milih prabowo,,,,2024 wajib prabowo,,,,all in prabowo",Heri Yadi,positif,,,milih prabowo     wajib prabowo    all in prabowo
71,71,KITA TUNGGU TANGGAL MAINNYA DI 2024 SAVE PRABOWO N GIBRAN🎉🎉🎉🎉,Roro Harum,positif,,,kita tunggu tanggal main di save prabowo n gibran
72,72,cuman Pak Prabowo yang punya hati buat INDONESIA,Venti,positif,,,cuman pak prabowo hati indonesia
