,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies
42,"Gw pilih pa probowo bahkan dari jokowi mash jdi capres, dia tidak mengiraukan posisinya sebagai lawan partai dan ttap dengan iklas jdi mentri keamanan di era jokowi. Terlihat jelas keiklasannya beliau, cuma era jokowi tidak ada oposisi karena prabowo memilih merangkul dan menjadi bagian dari kabinet bapa jokowi terlepas dari kekecewaan semua pendukungnya dahulu. 

Aku agak kecewa karena cawapresnya Gibran, tapi klo dipikir2 emng kenapa kalo Gibran? Dia anak presiden jokowi yg mungkin aja dia punya cara pandang dan pendidikan seperti halnya jokowi, rasanya seperti prabowo bergabung dengan jokowi sendiri. Toh solo mengalami pertumbuhan ekonomi yg cukup cepat di bawah pimpinan Gibran. Indonesia juga mengalami kemajuan di era jokowi. Tidak terasa seperti negara autopilot seperti era2 sebelum jokowi.

Klo masalah dinasty jokowi menurut gw kaga sih, jokowi mundur jdi ketum partai, kaesang pindah ke PSI tidak mengikuti jejak bapany di partai yg ada badakny. Sekarang Gibran berdiri sendiri mendampingi pa prabowo. Jdi menurut gw anak2 jokowi punya prinsip dan ideologiny masing2.",mei susilawati,positif,,
43,Jawa timur prabowo gibran,Robi Bendeng,positif,,
44,Pak Ganjar di tanya apa jawab apa,geminigurls,,negatif,
45,"Nih gue kasi list hasil2 kerja dari pak anis ya
1. Memperluas kepesertaan BPJS masyarakat DKI dgn cara proaktif tdk menunggu dr warga sampai hampir 100%
2. Mengadakan air bersih di daerah kepulauan seribu dan jg membangun pasar induk didaerah kepulauan seribu tersbut, shingga harga pangan didaerh tsb sama rata dgn daerah lainnya di DKI
3. Melonggarkn aturan2 shingga smua UMKM lvel kecil mnengah bisa mndpatkn izin usaha shingga bsa msuk pasar online. Trmsuk melakukn pendampingn kpda org2 yg mau step2 usaha dan bantuan modal
4. Meluncurkn aplksi harga pasar shingga hrga psar di DKI jadi terkontrol
5. Membrikn krtu lansia dan kartu khusus buat disabilitas yg bsa dpt bantuan uang dan bntuan2 pada fasilitas umum
6. Mlkukn trobosn hkum utk warga tnah merah yg tlah digusur
7. Pembangunan masif trotoar dan jalur speda
8. Pembangunan taman2 dgn konsep park (bisa utk bermain) yg dlunya konsep garden (hanya bsa dinikmati))) 9. Pmbangunan JPO yg cantik yg sklian mnjdi ruang ke-3 (public space) smua kalangan
10. Mengeluarkn bnyak skli IMB rumah ibdah gereja dan rumh ibdah slain masjid krna slama ber tahun2 sangt sush dibrikn
11. Membngun rumh ibdah khusus utk umat hindu tamil pertama di jakarta
12. Membngun tmpt kremasi umum pertma bagi umat hindu karna slama ini rakyt kecil sngt sush mendpatknnya karna biaya yg sngat mahal
13. Membngun stadium megah JIS (Jakarta Internasional Stadion)
14. Membrikn insentif fiskal bagi pemilik mobil listrik brupa bebas aturan ganjil genap dan jg ada kringan pajak (bukn berupa subsidi beli mobil) 
15. Membngun skolah percontohan dgn konsep green building dgn nma skolah Net Zero
16. Merenovasi gedung TIM 
17. Menolak reklamasi pulau dan utk 2 pulau yg sudh trlnjur dibangun, skrg sudh dialih fungsikan mnjdi public space yg dlunya dibangun utk private space 
18. Mengadakan balap formula E sbg promo pariwisata sekaligus mningkatkn awareness tntng mobil masa dpan yg berbasis listrik
19. Membngun 5 lapangan bola sbg fasilitas umum dgn standar FIFA
20. Merevitalisasi kota tua Batavia
21. Membebaskan pajak bangunan  (PBB) bagi para pensiunan2 guru, purnawirawan dan para pejuang
22. Sumur resapan utk mengatasi msalah banjir, sumur resapan ini walaupun banyak yg nyinyir tapi terbukti dicontoh jg oleh kota2 lain termasuk di IKN
23. Bekerjasma dgn ptani2 di jawa dan berbgai daerah lain gunanya utk memasok kbutuhn beras di DKI shingga stok beras terjaga
Dan blum lg begitu bnyak penghargaan dari dlam negeri dan internasional yg diterima oleh pak anis slama menjabat sbg gubernur",Devita Yani Yogiswari,,,positif
46,"Waduh pak Anis gk ingat janjinya ketika jadi gubernur DKI, janji DP 0 persen, bukan menambah bagus DKI,malah di acak2,bikin resapan menjadi jebakan Bedmen.dan masih banyak lagi",Philip Haddy,,,negatif
47,Prabowo Gibran Terbaik RI 2024-2029❤❤,Kang Dendi Maulana Channel,positif,,
48,pak prabowo membuat sya menangis berseduh seduh. tp aku tak bisa berpindah dr pak Anis karna memang dr dulu belum.masuk calon presiden sdh sya pilih semua saudar saudar sya pilih pak anis. kecuali papa sya dia pilih pak prabowo. tp sya jg mendokan prabowo jadi presiden.,Studio465,positif,,positif
50,PRABOWO - GIBRAN ❤❤❤,Shevadiego Syani,positif,,
51,"mudah""an tiap pemilu ada acara sprt ini biar qta tau siapa yg pantas jdi presiden n wakil presiden jgn asal pilih pilih Anies Baswedan n Muhaimin Iskandar ....",Agus Hidayat,,,positif
52,"awalnya mau pindah ke pak anies,, tapi setelah paparan dan refleksi pak prabowo jadi makin yakin pilih beliau. jawaban yg nyata dan program yang masuk akal. Terutama ttg isu depresi dan mental health, yg harus dibenahi dari akarnya yaitu mulai dari ibu mengandung, perbaikan gizi, sehingga akan menghasilkan generasi yg kuat fisik dan mental. kesejahteraan yg merata dgn akses pendidikan yg mudah dan berkualitas sehingga tidak ada lagi istilah di ""kotak-kotak"" kan. Seru juga kalo disekolah anak ada makan siang gratis. Dari penyampaian ketiga capres saya menjadi semakin mengerti, bahwa memimpin bangsa ini bukan hanya dengan gagasan dan ide semata. Karna itu semua akan dikerjakan bersama dgn orang2 yg intelektual dan berkompeten di bidangnya, tapi kita juga butuh pemimpin dgn ketegasan, keberanian, dan nasionalisme yang tinggi utk membawa Indonesia.",suri purboyo,positif,,
54,"Bapak Prabowo  ❤❤, Pemimpin yang ideal untuk Indonesia setelah Pak De ( Pak Jokowi)❤",Dominique Ngadu,positif,,
55,Aku sangat antusiasi dan sangat kagum sama sosok  prabowo tda putus asah untuk memperjuangkan hak2 rakyat untuk ekonominya yg di bawah rata2 semoga sja  sosok seperti prabowo yg berani untuk memperjuangkan rakyat indonesia cara bicaranya kelihatan tegas tapi hati nuraninya bisa sy rasakan untuk indonesia lebih baik lagi aamiin,David Daviddjama,positif,,
57,"Pak Anies,bahas mau mempermudah pembiayaan perbankan informal atau mikro jadi  mudah agar dpt menciptakan lapangan pekerjaan,niatnya si sangat bagus tapi ko jadi inget waktu dia buat dp 0% buat rumah,nyatanya buat warga DKI disana jadi susah,gw hawatir indonesian  2024 to 2029 gagal jadi negara maju cuma karna modal JANJI politik.",Ami 88,,,negatif
58,MAJU PRABOWO 🔥,Ciesa Mikha,positif,,
59,Pendukung Pak Ganjar..Richard Gere Indonesia...mana suaranyaaaa.....😍,Febby Yanti,,positif,
60,"Anies presiden 2024❤❤.. 
Pemimpin yg pintar banyak prestasi dan sangat bijak dalam menjawab..
Jangan sampai kesempatan ini sia sia , jadikan orang pintar berakhlak dan berkarisma ini pemimpin bangsa..😊",AKASA CHANNEL,,,positif
61,The best pak prabowo❤,One Five Nine,positif,,
62,😂😂 pak Ganjar partai anda tuh yg harus di priksa ..ma banteng takut marah ea😂😂😂,Kang Goblek,,negatif,
63,Rata2 komennya disini kagum sm pa anies ya,Alifa TLM,,,positif
64,"Pak Anies  luar biasa....  
Semoga Ada perubahan",Motivasi Sanad tv,,,positif
65,"Saya yakin  pak Ganjar menang KALAU tidak dari partai MERAH,",Gacor Slot,,positif,
66,"Jakarta di tangan pak Anies bener-bener bersahabat sama masyarakat. Transportasi dipermudah, halte dipercantik, angkot jadi lebih nyaman dgn jaklingko. Trotoar yang dulu nya dihina nyempitin jalan dll, ternyata berdampak baik buat para pejalan kaki karena mereka jadi lebih nyaman. Halte bundaran HI cantik banget pak! tapi ini bukan hanya tentang cantik, tapi konsep kesetaraan yang pak Anies gaungkan, beliau kepengen setiap warganya bisa ngerasain view indah dgn background patung selamat datang tanpa harus makan di hotel berbintang sekitar sana. trs juga taman dan ruang terbuka hijau yang kata pak Anies bisa jadi ruang ketiga alias tempat ngumpulnya masyarakat, dan alhasil orang2 jakarta jadi seneng nongkrong dan bincang-bincang disana, jakarta jauh lebih hidup. Inget banget sebelum pak Anies jadi gubernur, sepanjang jalan protokol ngga boleh motor lewat, saya kalau ke GBK aja kudu muter lewat dalem. Pas zaman bapak.. motor jd boleh lagi nikmatin jalanan dgn view gedung pencakar langit yang keren abis apalagi kalau malem. OH LUPA, di zaman bapak juga gada tuh istilah bundaran Hi tenggelem air susu coklat pak hihi. Pak Anies orang yang gencar banget ngajak masyarakat kurangi polusi kendaraan. Dan wajah baru kota tua jadi salah satu karya nya yang bikin saya kagum. inget banget se-semrawut apa kota tua dulu pak, bikin males buat kesana. tapi sekarang MasyaAllah, ada live musiknya kalau malam, lebih luas area pejalan kaki nya, bersih. Dan saya suka banget konsep kota kolaborasi ala bapak. Ngerasa diajak banget pak buat ikut andil buat benahin jakarta. Masyarakat semuanya dirangkul, se adem itu Jakarta pak. Duh, Masih banyak lagi pak yang bikin bangga. Ini saya ngetik jujur banget pak, sebangga itu bisa ngerasain jakarta era Anies Baswedan. Heran bgt sama orang yang bilang bapak ngga becus dan ngga bisa kerja. Padahal yakin sayaa mereka juga pasti udah ngerasain dampak positif hasil kerja bapak dan tim. Saya doakan pak, semoga Allah meridhoi niat ikhlas bapak untuk memimpin negeri ini. bismillah pak Amin!!",Shr,,,positif
67,Prabowo gibran R1,Putry Da gama,positif,,
68,"Gagasan GK ada manfaatnya...
Tetap kalah dgn Prabowo yg punya m.gibran SDH cukup.

M.Gibran py segalanya
Algojo paman MK 
Mentor ulung BP.presiden
Semua SDH terbukti dgn kado terindah buat sang keponakan.",Salam Gama,negatif,,
69,Pak Anies jadi mentri aja Pakkk....,beritasaya,,,negatif
70,"tahun 2019 saya tidak milih prabowo,,,,2024 wajib prabowo,,,,all in prabowo",Heri Yadi,positif,,
71,KITA TUNGGU TANGGAL MAINNYA DI 2024 SAVE PRABOWO N GIBRAN🎉🎉🎉🎉,Roro Harum,positif,,
72,cuman Pak Prabowo yang punya hati buat INDONESIA,Venti,positif,,
73,Kenapa giliran Anies selalu yg pertama?? Yang lain enak nyontek pertanyaan dan jawaban. Yang fair donk.,santoso sediyanto,negatif,negatif,positif
74,"Alm gusdur pernh bersaksi. Orang paling tulus kepada negara Indonesia ini adalah. Prabowo, itu terbukti dengan ketulusannya yabg tak henti berjuang. Semangat perjuangan mu pak 👍👍👍",Khae channel,positif,,
75,Pak Prabowo niatnya tulus untuk negara Indonesia pantang menyerah maju terus demi tugas negara,Marsarchived,positif,,
77,"Prabowoo d ❤,hidup presiden gemoyy👐🤗🤗",Yuniar Aryani,positif,,
78,Diantara 3 capres sy kagum sama pak Anis beliau menjawab semua pertanyaan dengan tegas santun dan bijak terlebih dengan gagasan2nya yg masuk di akal smg Pak Anislah yg menang dan jadi Presiden 2024 Aamiin,devira anastasia,,,positif
79,Terharu denger jawaban pak anis tentang pendidikan,Fatin Saniafara,,,positif
80,Bismillah Ganjar dan Mahfud MD menang satu putaran.,LOKER NUSANTARA OFFICIAL,,positif,
81,"Pak prabowo, andaikan cawapresnya bukan anu...",Nida Putri Nabillah,negatif,,
82,"ANIES, GANJAR TETAP !!! TETAP KOCAK WKWK ALL IN PRABOWO SALAM AKAL SEHAT",Hipdan Salihan,positif,,
83,PILIHAN PAK AHOK JELAS PILIHAN KITA. GANJAR-MAHFUD UNTUK INDONESIA LEBIH MAJU!!!,Muhammad Reyhand,,positif,
84,"Ganjar RI 1, terserah kalian mau pilih mana",Kasino Hs,,positif,
86,Dari 3 Bakal Calon hanya Anies Baswedan yang Pemaparan MUANTAP..,Kadubaleor Tv,,,positif
87,luar biasa pak prabowo...😁,Hayatul Habirun,positif,,
88,Jadinya Anis vs prabowo sih,Gerrmanotta,positif,,positif
89,mas anis kamu luar biasa indah,kiw kiw,,,positif
90,"Diskusi sama Pak Ganjar rasanya kok menyesakkan ya, apa mba Najwa juga berpendapat gitu ya?",Muhammad Alfatih,,negatif,
91,Pak prabowo sangat tulus dan fokus untuk negara tercinta kita indonesia❤,Neni Astriani,positif,,
92,Mulutmu manis,Gregory 69 Gregory69seran,negatif,negatif,negatif
93,"Dalam milih pemimpin rumusnya itu liat gagasan, rekam jejak dan prestasi,, dari ketiga calon jelas paling baik itu pak Anies, dari gagasannya jelas, bahasanya mudah dipahami semua orang, rekam jejak dan prestasi gak usah diragukan lagi, liat aja sendiri di media2 yg valid dan terpercaya yaa jangan media hoax penebar kebencian, bahkan prestasi nya gak cuma dalam negeri tapi juga internasional, liat aja banyak penghargaan bergengsi yg di terima Jakarta selama masa jabatan pak Anies,, Bismillah tanpa menghilangkan rasa hormat dan menjelekkan capres lainnya, saya dan seluruh keluarga besar yg tersebar di Jakarta, Karawang, minang, garut, bandung pilih pak Anies",Isma Ayundah,,,positif
94,Pantess Megawati bawa 4 calon di anggotanya demi ngalahin pak Anies.tohh pada belibet ngomong nya.genjer bowo.luhut mana Luhut,rumi irtiza,,,positif
95,"Pak ganjar yg bagus sopan,dan peduli sama rakyat dibandingkn anies ...nuomong aja hebat...dki .jakarta aja ,nggak terurus ..klau anies jadi presiden nnti semua atap rumah disuruh cat warna warni😂😂😂😂😂",Muhammad Ridzuan Ridzuan,,positif,negatif
96,Pak prabowo😍😍,Lois Rohatan,positif,,
98,Di akhir refleksk pak Prabowo benar2 membuat saya merinding & meneteskan air mata. Semoga bangsa kita menjadi bangsa yang membanggakan dan maju kelak,Fanti_fun,positif,,
99,Presiden juga nntinya bisa berpengaruh kpd konflik dipalestina .. ❤Insya Allah Pak ANIES❤ bisa menolong dan membantu sodara kita yg dipalestin 😢 .. Smg pak Anies menjadi presiden ditahun 2024 🤲🤲,Fitriyah Thoriq,,,positif
100,"memang pak prabowo tidak pandai dalam berbicara atau berpidato tapi insya allah beliau adalah orang yang tulus dan ikhlas mengabdi kepada NKRI, siapa pun yang akan menang nanti semoga kedepan nya indonesia semakin maju, salam NKRI ✊❤",Kim Julian,positif,,
101,Love you Prabowo subianto 💖💖💖,Abd.Rohman,positif,,
102,Ganjar... Bnyk hny cerita aja mengusung cm diri dia aja. Tp jawabannya absurd unt jalan keluar permasalahan yg sdng dialami di negara ini,Alvin Artur,,negatif,
103,Pak prabowo bicara nya dengan hati nurani..,snake head,positif,,
104,Pinter lah anis orang dosen klo kerja m nol,Nsn Nsn,,,positif
105,"Semua bacapres ini bukan orang biasa semua orang-orang hebat, indonesia jangan sampai pecah karna pilihan yang berbeda. Prabowo dengan ketulusan, keberanian dan ketegasannya, ganjar dengan humblenya dan anies dengan intelektualnya.",Uulinanyoo,positif,positif,positif
106,"Program makan untuk seluruh anak² Indonesia, apakah sudah berjalan...??

Ada program makan bersama di sekolah anak saya, namun orangtua yang menyiapkan makan nya dari rumah, menu 4 sehat 5 sempurna..
Jika memang kedepan nya ada program ini, pengawasan nya yang paling penting pak Prabowo..",dian sarfiqa,negatif,,
107,"1:03:54 urusan retorika saya aku P Anis super hebat. Ttp Implementasi tdk bs sendiri. Diperlukan kemampuan berkolaborasi  dg steak holder dan team working.
Jadi perlu kebijaksanaan. Bukan retorika belaka.",Samar Sudhano,,,positif
108,"ganjar kayaknya ada salah ngomong itu, pas ngomong background mbak najwa 🤣",Sherlyn Ardison,,negatif,
109,untuk saya yang tidak dapat meraih pendidikan tinggi. saya lebih senang dengan gagasan pak Anis. investasi yang paling berharga itu adalah membuat anak2 bangsa yang hebat dan pintar untuk mendapatkan kesejahteraan di masa yang akan datang.,Saeful azhar,,,positif
110,Pak ganjar lebih mantap program nya  tata penyampaian walaupon ak gak kenal siapa pak ganjar ak TKI malaysia ak berharap pakganjar jadi presiden indonesia 🎉🎉🎉🎉,Who I am,,positif,
111,Gagasan yang disampaikan pak anis memang baik dari 3 calon lainnya,Rizki Aulia Akbar,,,positif
112,Pak aniss Jos..,Edu Annas,,,positif
113,Slain anis gw plih 😂 krna anies tuh cmn omdo ga bkal di lakuin wkkw,Boy DC,,,negatif
114,AKU nangis saat pak anis ngomong depan cermin ngomongin ttg ibu,IT SUPPORT,,,positif
115,Keliatan banget ganjar jauh lebih menguasai materi dan cocok memimpin negri ini,Wahyu Aji,,positif,
116,all in prabowo/pranowo asal jgn yg satunya cuman bisaa omdo haha,Jo Ananda,positif,positif,negatif
117,"Saya salut sama pak anis, negara ini butuh presiden yg cerdas dlm semua hal.
Jgn qek .... blongo² ngomongnya jika depan pres negara lain😂😂😂",zul fadli,,,positif
118,"GANJAR REDDDD BULLSSS...
R1 ❤❤",Gheza Mikail Jatuseti,,positif,
119,Iya Tuhan semoga PK Anis menang.🙏🙏,Ferdi G4ul,,,positif
120,"Ganjar bicara tak mengaca.kaca duluh dirinya.baru bicara.
10thn tak becus untuk memimpin jawa tidur.hanya dongeng.",Satria Pria,,negatif,
121,"When asked to self reflected in front of the mirror, non of them can do it properly. Anies is just narrating his past but at least he tried, Ganjar even worse using the ""parents' advice card"" to gain sympathy, but the worst of all is Prabowo who seem don't listen to what was asked of him but instead try to engage the audience when the request is just to face yourself in front of a mirror, what is he running away from I have no idea. You can be awesome and charismatic in front of other people but at the end of the day no one knows you better than yourself. No one knows your best and worst qualities except yourself, that's why it's really hard to face yourself in front of the mirror while other people is watching. But at least one of them is trying, the other is try to deflect it, and the other one don't even have the courage to do it and just did something different instead. You can't even conquer yourself. You can't even face your demons. You don't even dare for your true self be seen by other people. Then what's the difference between us and you people? How could I trust you? Why should I give my voice for you? Sigh, should I be disappointed or it was expected instead? 😔",Idris Jabbar,negatif,negatif,negatif
122,TETAP mas GANJAR PRANOWO,DK chanel,,positif,
123,Saya lebih tertarik dengan gagasan pa Anis dapat di mengerti dan ber ilmu juga,Rosadi Fatahajjad,,,positif
124,Masih lebih lucu Pak Prabowo dibanding Pandji,Valid Non Official,positif,,
125,"Tetap Anies Baswedan yg terbaik,",Endang Achmad,,,positif
126,"Memilih Prabowo apalagi Ganjar sama dengan melanjutkan Jokowi, lihat saja pernyataannya, semoga Pak Anies bisa membawa perubahan Indonesia jika jadi presiden 2024",Bowow,negatif,negatif,positif
127,"Mohon maaf pak ganjar...karna kebebasan dan kepercayaan yg diberikan kepada aparat desa di salah gunakan untk kepentingan pribadi...coba saja lihat, rata2 pegawe yg kerja d desa memiliki fasilitas yg mewah, sementra rakyat2nya semakin tercekik,. Karna kelaparan. Tdk ada bantuan dri pemerintah. Sembako mahal...tdk seprti zaman pak suharto, ada raskin, dan bnyk bantuan lainnya",Fredy Guy,,negatif,
128,"Kalau mau sejahtera pilih anies, kalau pilih prabowo dengan pasukan skrg banyak orang orba nah kalau ganjar ada PDIP. Jadi pilih anies dong",havana banana,negatif,negatif,positif
129,"Klo orang militer mah memang paling menggaung suaranya, mantap, tapi lucu juga..karena aku ketawa² pas nonton pak prabowo bicara 👍

Diantara ketiga bacapres Anies Rasyid Baswedan paling tenang paling kalem paling bijaksana dalam menyikapi pertanyaan komentar dll..mantap 👍👍",kakaAdik Family 💞,positif,,positif
130,"01:30:06 disini bilangnya jangan jadikan ""beban"", tapi kok disini 1:30:46 dibilang ""beban"" pak Anies ? 🤔",Samuel Putra,,,negatif
131,"Terima kasih mata najwa untuk acara ini. Penilaian saya pribadi dari sesi setiap bacapres:
1. Bapak Anies baswedan jawabannya tepat sasaran dan berwibawa, ada sedikit ice breaking tapi gak berlebihan.
2. Bapak Ganjar Pranowo terlalu sering self centric jawabannya, guyon nya agak kebanyakan.
3. Bapak Prabowo berapi-api seperti biasa, walaupun agak monoton.",Asyiatul Rahmi Putri,positif,negatif,positif
132,Pak prabowo bakal saya pilih di pilpres 2024 bravo,Ahmad Ramadhan,positif,,
133,Pejuang yg sebenarnya adalah prabowo gagal 2x tdk masalah jd yg ke 3harus gool.mengenai gagasa tdk sperti yg bakal calon lain tp klau masalah kejujuran prabowo orgnya.gass RI 2024 2029,Vivian Viki,positif,,
134,menangis mendengar pak Prabowo sanggat nasionalsme,Ranti Saraswati,positif,,
136,Prabowo di hati karena yg di hati pasti ada prabowo,R Fermino,positif,,
137,Pilihan satu satunya seluruh rakyat Indonesia dari Sabang sampai Merauke adalah pak Anis dan yang lainya adalah sebagai pelengkap saja .,Masni,,,positif
138,"Menurut saya selain dri gagasan2 yg sudah diutarakan oleh 3 bacapres .Dilihat secara fisiknya saya lebih memilih bpk anies baswedan yg terlihat kuat memimpin indonesia maju , Bismillah Anies baswedan .",Ine Layla,,,positif
139,"Aku setuju sama pak Anis,",Willy Seran,,,positif
140,"menurut saya pak ganjar ini hanya sebagai tameng untuk mengangkat pak prabowo, sejatinya yg bertarung adlh pak anis dan pak prabowo...",Ichal Media,,negatif,
