,Unnamed: 0,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies,preprocessed
11,13.0,"Insya Allah pak prabowo menang, org plg tulus utk NKRI",Ardjuna 07,positif,,,insya allah prabowo menang orang pulang tulus nkri
12,14.0,"Pak anis paling top 👍 mantap, salam perubahan ✋",Tholib Syaputra,,,positif,anies top jempol ke atas mantap salam ubah telapak tangan buka dengan jari rapat
13,15.0,Setelah saya melihat dan menilai. saya lebih cocok ARB yang cocok jadi Presiden.,Ryan1126,,,positif,nilai cocok anies cocok presiden
14,16.0,"Anies :    89% : skills
                -Minus: non integritas
               90% kata-kata
                10% kerja
Ganjar :   88% skills
                -Minus kurang bahasa inggris 
                55% kata-kata
               45% kerja
Prabowo:  86% skills
                   -minus: menganut paham             orba/dinasti
                   30% kata-kata
                   30% kerja 
                   40% dinasti Kartanegara 
Jokowi: 78 %: skills
              -minus dinasti keluarga, aturan konstitusi 
               20% kata-kata
               55% kerja
               25% dinasti",Geovan N,positif,positif,positif,anies skills minus non integritas katakata kerja ganjar skills minus bahasa inggris katakata kerja prabowo skills minus anut paham orbadinasti katakata kerja dinasti kartanegara jokowi skills minus dinasti keluarga atur konstitusi katakata kerja dinasti
15,17.0,Dengar Anis ngomong knp y tersa mual..ingat janjinya di DKI..program ok Oce..diberimodal..dilatih..dicarikan pasarny..di Carikan pembeliny..nytanya 0 besar😂😂😂😂,Heriyanto Lazarus,,,negatif,dengar anies omong ya tersa mual janji dki program ok oce diberimodal latih cari pasarny cari pembeliny nytanya wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
16,18.0,Pendukung pak anies sini like komen,ᴏᴩᴩᴀʟⓥ,,,positif,dukung anies like komen
17,19.0,"Anis contoh udh contoh lagi contoh ntr contoh lagi,pas udah mejabat cmn kerjain contoh aja",Yudisthira Putra,,,negatif,anies contoh contoh contoh entar contoh pas mejabat cuman kerjain contoh
18,20.0,"Bismillah saya mantap pilih pak Ganjar RI 1,setiap apa yg beliau sampaikan masuk akal dan menyentuh hati saya sebagai org nda mampu❤",MAYYA DI INDONESIA,,positif,,bismillah mantap pilih ganjar ri beliau masuk akal sentuh hati orang indak mampu
19,21.0,"Paling  bagus pak prabowo untuk saat ini sbg peganti pak jokowi yg  dulu saya juga memilih pak jkw sbg presiden.
 ""Mereka tidak banyak ekspetasi,tp cita2 dan tdk ngegampangin ucapan. Yg tdk realistis.",ER18 Channel,positif,,,bagus prabowo ganti jokowi pilih jkw presiden ekspetasi citacita ngegampangin ucap realistis
20,22.0,"Rata2 lebih 80% komentar ny pilih anis smw..
Semoga menjadi sebab doanya dikabulkan tuhan beliau jadi presiden kita",Febri Fadli,,,positif,ratarata komentar nya pilih anies moga doa kabul tuhan beliau presiden
21,23.0,Makin yakin Anies terbaik,agus prasetyo Utomo,,,positif,anies baik
22,24.0,"Dari 3 capres yang di suruh refleksi, cuman prabowo subianto yang ngeyel, tp dari situ saya faham, bahwa beliau bukan type orang yang  gak bisa di atur jika harga diri bangsa di rendahkan.",dennyrisqi meyandrian,positif,,,capres suruh refleksi cuman prabowo prabowo ngeyel situ faham beliau type orang atur harga bangsa rendah
23,25.0,"Di sini Saya tidak menilai siapa yang paling cerdas dan yang paling pandai berbicara, tapi saya melihat dari aura ketiga bacapres ini, yang paling cinta rakyat, tulus membantu, ikhlas, sabar, baik, tidak angkuh dendam dan ingin bekerja keras untuk kemakmuran dan kemajuan bangsa ialah pak prabowo",Julian Anto,positif,,,nilai cerdas pandai bicara aura tiga bacapres cinta rakyat tulus bantu ikhlas sabar angkuh dendam keras makmur maju bangsa prabowo
24,26.0,Anies Baswedan presiden😊,Ikhwal Irmanyah bin sams,,,positif,anies anies presiden wajah senyum dengan mata bahagia
25,27.0,"Pak ANIES? Maksud konoha itu, sini sy jelasin ya.di negara kita tu presiden nya mirip cerita nya sama kaya di anime jepang (naruto). Bukan nya buat ketidak bebasan berpendapat. Pak, hadeh.
Gagal faham ya pak? Wkkk",Rendy Pitono,,,negatif,anies maksud konoha jelasin yad negara presiden nya cerita nya kayak anime jepang naruto nya tidak bebas dapat hadeh gagal faham ya
26,28.0,"Segitu nya jegal anies, yg bantu anies lgsg di periksa pakai alat negara",Roni Dokzer,,,positif,segitu nya jegal anies bantu anies langsung periksa pakai alat negara
27,29.0,Hidup Prabowo presiden RI,windy ananda,positif,,,hidup prabowo presiden ri
28,30.0,Prabowo speech gw ga ngerti..tapi keren.. materinya berat bro...,My Happines,positif,,,prabowo speech gue erti keren materi berat bro
29,31.0,Pelawak juga pak prabowo,sopian hetfield,negatif,,,lawak prabowo
30,32.0,tenang pak prabowo.... sallam dari bali,Mlbb Azka,positif,,,tenang prabowo sallam bal
31,33.0,saya bukan pendukung bapak prabowo tapi setelah saya nonton video ini pendapat saya hanya bapak prabowo saja yang tulus apa adanya tanpa dibuat2 baik itu dalam bersikap ataupun berkata2 pada saat berinteraksi dengan teman2 di UGM,andy setiawan,positif,,,dukung prabowo tonton video dapat prabowo tulus buat sikap kata interaksi temanteman ugm
32,34.0,"Yah presiden nya gak bisa ngapa ngapain, karena dia cuma diusung partai jadi presidennya gak guna, kalo prabowo partai sendri jadi kaga ada yang ngatur",Randy Rahmadan,positif,,,ya presiden nya ngapa kapai usung partai presiden kalo prabowo partai kagak atur
33,35.0,"Pak ganjar gaya bicaranya dalam menjawab pertanyaan ko kaya pelawak,?",Orang kecil,,negatif,,ganjar gaya bicara kayak lawak
34,36.0,"dari Ketiga Capres ...yg Paling OK adalah Anis Baswedan ..Insya Allah : Sholeh, Berilmu, Amanah,Secara Fisik sangat Pantas Menjadi Presiden...",Adi@manyaran,,,positif,tiga capres ok anies anies insya allah sholeh beril amanah fisik presiden
35,37.0,Pilih prabowo kalau g gt Ganjar 🎉🎉🎉,Erni Ibuke Gavi,positif,positif,,pilih prabowo ganjar party popper party popper party popper
36,38.0,Insya allah pak anis klo jadi presiden keluarganya ga mabuk jabatan ingat pak harto punya punya semua tapi anak2nya tetap pengusaha,Biar Sepuluh,,,positif,insya allah anies kalo presiden keluarga mabuk jabat harto anakanaknya usaha
37,39.0,Kallo Prabowo masuk presiden Indonesia tidak aman akan di perang terus,Sensi Jeharut,negatif,,,kalo prabowo masuk presiden indonesia aman perang
38,41.0,"Maaf buat pak anis coba ngomongnya jangan kota kota trus kami ini diamnya di desa bukan dikota,dan bahasanya coba pake bahasa yg mudah di pahami kami ini orang awam",Sultan Azmi,,,negatif,maaf anies coba omong kota kota diam desa kota bahasa coba pakai bahasa mudah paham orang awam
39,42.0,"Gw pilih pa probowo bahkan dari jokowi mash jdi capres, dia tidak mengiraukan posisinya sebagai lawan partai dan ttap dengan iklas jdi mentri keamanan di era jokowi. Terlihat jelas keiklasannya beliau, cuma era jokowi tidak ada oposisi karena prabowo memilih merangkul dan menjadi bagian dari kabinet bapa jokowi terlepas dari kekecewaan semua pendukungnya dahulu. 

Aku agak kecewa karena cawapresnya Gibran, tapi klo dipikir2 emng kenapa kalo Gibran? Dia anak presiden jokowi yg mungkin aja dia punya cara pandang dan pendidikan seperti halnya jokowi, rasanya seperti prabowo bergabung dengan jokowi sendiri. Toh solo mengalami pertumbuhan ekonomi yg cukup cepat di bawah pimpinan Gibran. Indonesia juga mengalami kemajuan di era jokowi. Tidak terasa seperti negara autopilot seperti era2 sebelum jokowi.

Klo masalah dinasty jokowi menurut gw kaga sih, jokowi mundur jdi ketum partai, kaesang pindah ke PSI tidak mengikuti jejak bapany di partai yg ada badakny. Sekarang Gibran berdiri sendiri mendampingi pa prabowo. Jdi menurut gw anak2 jokowi punya prinsip dan ideologiny masing2.",mei susilawati,positif,,,gue pilih probowo jokowi mash capres kirau posisi lawan partai iklas tri aman era jokowi keiklasannya beliau era jokowi oposisi prabowo pilih rangkul kabinet bapa jokowi lepas kecewa dukung kecewa cawapresnya gibran kalo pikir kalo gibran anak presiden jokowi pandang didik hal jokowi prabowo gabung jokowi solo alami tumbuh ekonomi cepat pimpin gibran indonesia alami maju era jokowi negara autopilot era jokowi kalo dinasty jokowi gue kagak sih jokowi mundur tum partai kaesang pindah psi ikut jejak bapany partai badakny gibran diri damping prabowo gue anakanak jokowi prinsip ideologiny
40,43.0,Jawa timur prabowo gibran,Robi Bendeng,positif,,,jawa timur prabowo gibran
41,44.0,Pak Ganjar di tanya apa jawab apa,geminigurls,,negatif,,ganjar
42,45.0,"Nih gue kasi list hasil2 kerja dari pak anis ya
1. Memperluas kepesertaan BPJS masyarakat DKI dgn cara proaktif tdk menunggu dr warga sampai hampir 100%
2. Mengadakan air bersih di daerah kepulauan seribu dan jg membangun pasar induk didaerah kepulauan seribu tersbut, shingga harga pangan didaerh tsb sama rata dgn daerah lainnya di DKI
3. Melonggarkn aturan2 shingga smua UMKM lvel kecil mnengah bisa mndpatkn izin usaha shingga bsa msuk pasar online. Trmsuk melakukn pendampingn kpda org2 yg mau step2 usaha dan bantuan modal
4. Meluncurkn aplksi harga pasar shingga hrga psar di DKI jadi terkontrol
5. Membrikn krtu lansia dan kartu khusus buat disabilitas yg bsa dpt bantuan uang dan bntuan2 pada fasilitas umum
6. Mlkukn trobosn hkum utk warga tnah merah yg tlah digusur
7. Pembangunan masif trotoar dan jalur speda
8. Pembangunan taman2 dgn konsep park (bisa utk bermain) yg dlunya konsep garden (hanya bsa dinikmati))) 9. Pmbangunan JPO yg cantik yg sklian mnjdi ruang ke-3 (public space) smua kalangan
10. Mengeluarkn bnyak skli IMB rumah ibdah gereja dan rumh ibdah slain masjid krna slama ber tahun2 sangt sush dibrikn
11. Membngun rumh ibdah khusus utk umat hindu tamil pertama di jakarta
12. Membngun tmpt kremasi umum pertma bagi umat hindu karna slama ini rakyt kecil sngt sush mendpatknnya karna biaya yg sngat mahal
13. Membngun stadium megah JIS (Jakarta Internasional Stadion)
14. Membrikn insentif fiskal bagi pemilik mobil listrik brupa bebas aturan ganjil genap dan jg ada kringan pajak (bukn berupa subsidi beli mobil) 
15. Membngun skolah percontohan dgn konsep green building dgn nma skolah Net Zero
16. Merenovasi gedung TIM 
17. Menolak reklamasi pulau dan utk 2 pulau yg sudh trlnjur dibangun, skrg sudh dialih fungsikan mnjdi public space yg dlunya dibangun utk private space 
18. Mengadakan balap formula E sbg promo pariwisata sekaligus mningkatkn awareness tntng mobil masa dpan yg berbasis listrik
19. Membngun 5 lapangan bola sbg fasilitas umum dgn standar FIFA
20. Merevitalisasi kota tua Batavia
21. Membebaskan pajak bangunan  (PBB) bagi para pensiunan2 guru, purnawirawan dan para pejuang
22. Sumur resapan utk mengatasi msalah banjir, sumur resapan ini walaupun banyak yg nyinyir tapi terbukti dicontoh jg oleh kota2 lain termasuk di IKN
23. Bekerjasma dgn ptani2 di jawa dan berbgai daerah lain gunanya utk memasok kbutuhn beras di DKI shingga stok beras terjaga
Dan blum lg begitu bnyak penghargaan dari dlam negeri dan internasional yg diterima oleh pak anis slama menjabat sbg gubernur",Devita Yani Yogiswari,,,positif,nih gue kasih list hasil kerja anies ya luas serta bpjs masyarakat dki proaktif tunggu warga ada air bersih daerah pulau ribu bangun pasar induk daerah pulau ribu tersbut shingga harga pangan didaerh daerah dki melonggarkn atur shingga umkm lvel mnengah mndpatkn izin usaha shingga masuk pasar online pendampingn kpda orangorang step usaha bantu modal meluncurkn aplksi harga pasar shingga hrga psar dki kontrol membrikn krtu lansia kartu khusus disabilitas bantu uang bntuan fasilitas mlkukn trobosn hkum warga tnah merah tlah gusur bangun masif trotoar jalur speda bangun taman konsep park main dlunya konsep garden nikmat pmbangunan jpo cantik sklian ruang ke public space kalang mengeluarkn imb rumah ibdah gereja rumah ibdah slain masjid ber tahuntahun sush dibrikn membngun rumah ibdah khusus umat hindu tamil jakarta membngun kremasi umat hindu rakyt sush mendpatknnya biaya sngat mahal membngun stadium megah jis jakarta internasional stadion membrikn insentif fiskal milik mobil listrik brupa bebas atur ganjil genap kring pajak subsidi beli mobil membngun sekolah contoh konsep green building nma sekolah net zero renovasi gedung tim tolak reklamasi pulau pulau trlnjur bangun alih fungsi public space dlunya bangun private space ada balap formula e promo pariwisata mningkatkn awarenes tntng mobil dpan bas listrik membngun lapang bola fasilitas standar fifa revitalisasi kota tua batavia bebas pajak bangun pb pensiun guru purnawirawan juang sumur resap atas banjir sumur resap nyinyir bukti contoh kota ikn bekerjasma ptani jawa berbgai daerah guna pasok kbutuhn beras dki shingga stok beras jaga harga negeri internasional terima anies jabat gubernur
43,46.0,"Waduh pak Anis gk ingat janjinya ketika jadi gubernur DKI, janji DP 0 persen, bukan menambah bagus DKI,malah di acak2,bikin resapan menjadi jebakan Bedmen.dan masih banyak lagi",Philip Haddy,,,negatif,anies janji gubernur dki janji dp persen tambah bagus dki acak bikin resap jebak bedmendan
44,47.0,Prabowo Gibran Terbaik RI 2024-2029❤❤,Kang Dendi Maulana Channel,positif,,,prabowo gibran baik ri
45,48.0,pak prabowo membuat sya menangis berseduh seduh. tp aku tak bisa berpindah dr pak Anis karna memang dr dulu belum.masuk calon presiden sdh sya pilih semua saudar saudar sya pilih pak anis. kecuali papa sya dia pilih pak prabowo. tp sya jg mendokan prabowo jadi presiden.,Studio465,positif,,positif,prabowo menang seduh seduh pindah anies belummasuk calon presiden pilih saudar saudar pilih anies kecuali papa pilih prabowo dok prabowo presiden
46,50.0,PRABOWO - GIBRAN ❤❤❤,Shevadiego Syani,positif,,,prabowo gibran
47,51.0,"mudah""an tiap pemilu ada acara sprt ini biar qta tau siapa yg pantas jdi presiden n wakil presiden jgn asal pilih pilih Anies Baswedan n Muhaimin Iskandar ....",Agus Hidayat,,,positif,mudahmudahan milu acara biar tau presiden n wakil presiden pilih pilih anies anies n muhaimin iskandar
48,52.0,"awalnya mau pindah ke pak anies,, tapi setelah paparan dan refleksi pak prabowo jadi makin yakin pilih beliau. jawaban yg nyata dan program yang masuk akal. Terutama ttg isu depresi dan mental health, yg harus dibenahi dari akarnya yaitu mulai dari ibu mengandung, perbaikan gizi, sehingga akan menghasilkan generasi yg kuat fisik dan mental. kesejahteraan yg merata dgn akses pendidikan yg mudah dan berkualitas sehingga tidak ada lagi istilah di ""kotak-kotak"" kan. Seru juga kalo disekolah anak ada makan siang gratis. Dari penyampaian ketiga capres saya menjadi semakin mengerti, bahwa memimpin bangsa ini bukan hanya dengan gagasan dan ide semata. Karna itu semua akan dikerjakan bersama dgn orang2 yg intelektual dan berkompeten di bidangnya, tapi kita juga butuh pemimpin dgn ketegasan, keberanian, dan nasionalisme yang tinggi utk membawa Indonesia.",suri purboyo,positif,,,pindah anies papar refleksi prabowo pilih beliau nyata program masuk akal isu depresi mental health benah akar kandung baik gizi hasil generasi kuat fisik mental sejahtera rata akses didik mudah kualitas istilah kotakkotak kan seru kalo seko anak makan siang gratis sampai tiga capres erti pimpin bangsa gagas ide orangorang intelektual kompeten bidang butuh pimpin tegas berani nasionalisme bawa indonesia
49,54.0,"Bapak Prabowo  ❤❤, Pemimpin yang ideal untuk Indonesia setelah Pak De ( Pak Jokowi)❤",Dominique Ngadu,positif,,,prabowo pimpin ideal indonesia deh jokowi
50,55.0,Aku sangat antusiasi dan sangat kagum sama sosok  prabowo tda putus asah untuk memperjuangkan hak2 rakyat untuk ekonominya yg di bawah rata2 semoga sja  sosok seperti prabowo yg berani untuk memperjuangkan rakyat indonesia cara bicaranya kelihatan tegas tapi hati nuraninya bisa sy rasakan untuk indonesia lebih baik lagi aamiin,David Daviddjama,positif,,,antusias kagum sosok prabowo tda putus asah juang hak rakyat ekonomi ratarata moga sosok prabowo berani juang rakyat indonesia bicara hati nurani rasa indonesia amin
51,57.0,"Pak Anies,bahas mau mempermudah pembiayaan perbankan informal atau mikro jadi  mudah agar dpt menciptakan lapangan pekerjaan,niatnya si sangat bagus tapi ko jadi inget waktu dia buat dp 0% buat rumah,nyatanya buat warga DKI disana jadi susah,gw hawatir indonesian  2024 to 2029 gagal jadi negara maju cuma karna modal JANJI politik.",Ami 88,,,negatif,anies bahas mudah biaya perban informal mikro mudah cipta lapang kerja niat sih bagus dp rumah warga dki sana susah gue hawatir indonesian gagal negara maju modal janji politik
52,58.0,MAJU PRABOWO 🔥,Ciesa Mikha,positif,,,maju prabowo api
53,59.0,Pendukung Pak Ganjar..Richard Gere Indonesia...mana suaranyaaaa.....😍,Febby Yanti,,positif,,dukung ganjar richard gere indonesia suara wajah senyum lebar mata hati
54,60.0,"Anies presiden 2024❤❤.. 
Pemimpin yg pintar banyak prestasi dan sangat bijak dalam menjawab..
Jangan sampai kesempatan ini sia sia , jadikan orang pintar berakhlak dan berkarisma ini pemimpin bangsa..😊",AKASA CHANNEL,,,positif,anies presiden pimpin pintar prestasi bijak sempat sia sia jadi orang pintar akhlak karisma pimpin bangsa wajah senyum dengan mata bahagia
55,61.0,The best pak prabowo❤,One Five Nine,positif,,,the best prabowo
56,62.0,😂😂 pak Ganjar partai anda tuh yg harus di priksa ..ma banteng takut marah ea😂😂😂,Kang Goblek,,negatif,,wajah gembira urai air mata wajah gembira urai air mata ganjar partai tuh priksa banteng takut marah ya wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
57,63.0,Rata2 komennya disini kagum sm pa anies ya,Alifa TLM,,,positif,ratarata komennya kagum anies ya
58,64.0,"Pak Anies  luar biasa....  
Semoga Ada perubahan",Motivasi Sanad tv,,,positif,anies moga ubah
59,65.0,"Saya yakin  pak Ganjar menang KALAU tidak dari partai MERAH,",Gacor Slot,,positif,,ganjar menang partai merah
60,66.0,"Jakarta di tangan pak Anies bener-bener bersahabat sama masyarakat. Transportasi dipermudah, halte dipercantik, angkot jadi lebih nyaman dgn jaklingko. Trotoar yang dulu nya dihina nyempitin jalan dll, ternyata berdampak baik buat para pejalan kaki karena mereka jadi lebih nyaman. Halte bundaran HI cantik banget pak! tapi ini bukan hanya tentang cantik, tapi konsep kesetaraan yang pak Anies gaungkan, beliau kepengen setiap warganya bisa ngerasain view indah dgn background patung selamat datang tanpa harus makan di hotel berbintang sekitar sana. trs juga taman dan ruang terbuka hijau yang kata pak Anies bisa jadi ruang ketiga alias tempat ngumpulnya masyarakat, dan alhasil orang2 jakarta jadi seneng nongkrong dan bincang-bincang disana, jakarta jauh lebih hidup. Inget banget sebelum pak Anies jadi gubernur, sepanjang jalan protokol ngga boleh motor lewat, saya kalau ke GBK aja kudu muter lewat dalem. Pas zaman bapak.. motor jd boleh lagi nikmatin jalanan dgn view gedung pencakar langit yang keren abis apalagi kalau malem. OH LUPA, di zaman bapak juga gada tuh istilah bundaran Hi tenggelem air susu coklat pak hihi. Pak Anies orang yang gencar banget ngajak masyarakat kurangi polusi kendaraan. Dan wajah baru kota tua jadi salah satu karya nya yang bikin saya kagum. inget banget se-semrawut apa kota tua dulu pak, bikin males buat kesana. tapi sekarang MasyaAllah, ada live musiknya kalau malam, lebih luas area pejalan kaki nya, bersih. Dan saya suka banget konsep kota kolaborasi ala bapak. Ngerasa diajak banget pak buat ikut andil buat benahin jakarta. Masyarakat semuanya dirangkul, se adem itu Jakarta pak. Duh, Masih banyak lagi pak yang bikin bangga. Ini saya ngetik jujur banget pak, sebangga itu bisa ngerasain jakarta era Anies Baswedan. Heran bgt sama orang yang bilang bapak ngga becus dan ngga bisa kerja. Padahal yakin sayaa mereka juga pasti udah ngerasain dampak positif hasil kerja bapak dan tim. Saya doakan pak, semoga Allah meridhoi niat ikhlas bapak untuk memimpin negeri ini. bismillah pak Amin!!",Shr,,,positif,jakarta tangan anies benarbenar sahabat masyarakat transportasi mudah halte cantik angkot nyaman jaklingko trotoar nya hina nyempitin jalan dampak pejal kaki nyaman halte bundar hi cantik banget cantik konsep tara anies gaung beliau ken warga rasai view indah background patung selamat makan hotel bintang taman ruang buka hijau anies ruang tiga alias ngumpulnya masyarakat alhasil orangorang jakarta senang nongkrong bincangbincang sana jakarta hidup banget anies gubernur jalan protokol motor gbk kudu muter dalem pas zaman motor nikmat jalan view gedung cakar langit keren habis malam oh lupa zaman tuh istilah bundar hi tenggelem air susu coklat hihi anies orang gencar banget ajak masyarakat kurang polusi kendara wajah kota tua salah karya nya bikin kagum banget semrawut kota tua bikin malas kesana masyaallah live musik malam luas area pejal kaki nya bersih suka banget konsep kota kolaborasi ala ajak banget andil benah jakarta masyarakat rangkul adem jakarta duh bikin bangga etik jujur banget bangga rasai jakarta era anies anies heran banget orang bilang becus kerja rasai dampak positif hasil kerja tim doa moga allah meridhoi niat ikhlas pimpin negeri bismillah amin
61,67.0,Prabowo gibran R1,Putry Da gama,positif,,,prabowo gibran r
62,68.0,"Gagasan GK ada manfaatnya...
Tetap kalah dgn Prabowo yg punya m.gibran SDH cukup.

M.Gibran py segalanya
Algojo paman MK 
Mentor ulung BP.presiden
Semua SDH terbukti dgn kado terindah buat sang keponakan.",Salam Gama,negatif,,,gagas manfaat kalah prabowo samagibran samagibran algojo paman mentor ulung bppresiden bukti kado indah sang keponakan
63,69.0,Pak Anies jadi mentri aja Pakkk....,beritasaya,,,negatif,anies tri
64,70.0,"tahun 2019 saya tidak milih prabowo,,,,2024 wajib prabowo,,,,all in prabowo",Heri Yadi,positif,,,pilih prabowo wajib prabowo al prabowo
65,71.0,KITA TUNGGU TANGGAL MAINNYA DI 2024 SAVE PRABOWO N GIBRAN🎉🎉🎉🎉,Roro Harum,positif,,,tunggu tanggal main save prabowo n gibran party popper party popper party popper party popper
66,72.0,cuman Pak Prabowo yang punya hati buat INDONESIA,Venti,positif,,,cuman prabowo hati indonesia
67,73.0,Kenapa giliran Anies selalu yg pertama?? Yang lain enak nyontek pertanyaan dan jawaban. Yang fair donk.,santoso sediyanto,negatif,negatif,positif,gilir anies enak nyontek fair
68,74.0,"Alm gusdur pernh bersaksi. Orang paling tulus kepada negara Indonesia ini adalah. Prabowo, itu terbukti dengan ketulusannya yabg tak henti berjuang. Semangat perjuangan mu pak 👍👍👍",Khae channel,positif,,,almarhum gusdur pernh saksi orang tulus negara indonesia prabowo bukti tulus yabg henti juang semangat juang mu jempol ke atas jempol ke atas jempol ke atas
69,75.0,Pak Prabowo niatnya tulus untuk negara Indonesia pantang menyerah maju terus demi tugas negara,Marsarchived,positif,,,prabowo niat tulus negara indonesia pantang serah maju tugas negara
70,77.0,"Prabowoo d ❤,hidup presiden gemoyy👐🤗🤗",Yuniar Aryani,positif,,,prabowo hidup presiden gemoy tangan buka wajah peluk wajah peluk
71,78.0,Diantara 3 capres sy kagum sama pak Anis beliau menjawab semua pertanyaan dengan tegas santun dan bijak terlebih dengan gagasan2nya yg masuk di akal smg Pak Anislah yg menang dan jadi Presiden 2024 Aamiin,devira anastasia,,,positif,capres kagum anies beliau santun bijak gagas masuk akal moga anis menang presiden amin
72,79.0,Terharu denger jawaban pak anis tentang pendidikan,Fatin Saniafara,,,positif,haru dengar anies didik
73,80.0,Bismillah Ganjar dan Mahfud MD menang satu putaran.,LOKER NUSANTARA OFFICIAL,,positif,,bismillah ganjar mahfud md menang putar
74,81.0,"Pak prabowo, andaikan cawapresnya bukan anu...",Nida Putri Nabillah,negatif,,,prabowo andai cawapresnya anu
75,82.0,"ANIES, GANJAR TETAP !!! TETAP KOCAK WKWK ALL IN PRABOWO SALAM AKAL SEHAT",Hipdan Salihan,positif,,,anies ganjar kocak wkwk al prabowo salam akal sehat
76,83.0,PILIHAN PAK AHOK JELAS PILIHAN KITA. GANJAR-MAHFUD UNTUK INDONESIA LEBIH MAJU!!!,Muhammad Reyhand,,positif,,pilih ahok pilih ganjarmahfud indonesia maju
77,84.0,"Ganjar RI 1, terserah kalian mau pilih mana",Kasino Hs,,positif,,ganjar ri serah pilih
78,86.0,Dari 3 Bakal Calon hanya Anies Baswedan yang Pemaparan MUANTAP..,Kadubaleor Tv,,,positif,calon anies anies papar muantap
