,Unnamed: 0,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies,preprocessed,Prabowo2
27,54,"Pak ANIES? Maksud konoha itu, sini sy jelasin ya.di negara kita tu presiden nya mirip cerita nya sama kaya di anime jepang (naruto). Bukan nya buat ketidak bebasan berpendapat. Pak, hadeh.
Gagal faham ya pak? Wkkk",Rendy Pitono,,,Anies,anies maksud konoha jelasin yad negara presiden nya cerita nya kayak anime jepang naruto nya tidak bebas dapat hadeh gagal faham ya,0
28,57,"Segitu nya jegal anies, yg bantu anies lgsg di periksa pakai alat negara",Roni Dokzer,,,Anies,segitu nya jegal anies bantu anies langsung periksa pakai alat negara,0
29,58,Hidup Prabowo presiden RI,windy ananda,Prabowo,,,hidup prabowo presiden ri,1
30,59,Prabowo speech gw ga ngerti..tapi keren.. materinya berat bro...,My Happines,Prabowo,,,prabowo speech gue erti keren materi berat bro,1
31,62,Pelawak juga pak prabowo,sopian hetfield,Prabowo,,,lawak prabowo,1
32,64,tenang pak prabowo.... sallam dari bali,Mlbb Azka,Prabowo,,,tenang prabowo sallam bal,1
33,67,saya bukan pendukung bapak prabowo tapi setelah saya nonton video ini pendapat saya hanya bapak prabowo saja yang tulus apa adanya tanpa dibuat2 baik itu dalam bersikap ataupun berkata2 pada saat berinteraksi dengan teman2 di UGM,andy setiawan,Prabowo,,,dukung prabowo tonton video dapat prabowo tulus buat sikap kata interaksi temanteman ugm,1
34,76,"Yah presiden nya gak bisa ngapa ngapain, karena dia cuma diusung partai jadi presidennya gak guna, kalo prabowo partai sendri jadi kaga ada yang ngatur",Randy Rahmadan,Prabowo,,,ya presiden nya ngapa kapai usung partai presiden kalo prabowo partai kagak atur,1
35,81,"Pak ganjar gaya bicaranya dalam menjawab pertanyaan ko kaya pelawak,?",Orang kecil,,Ganjar,,ganjar gaya bicara kayak lawak,0
36,83,"dari Ketiga Capres ...yg Paling OK adalah Anis Baswedan ..Insya Allah : Sholeh, Berilmu, Amanah,Secara Fisik sangat Pantas Menjadi Presiden...",Adi@manyaran,,,Anies,tiga capres ok anies anies insya allah sholeh beril amanah fisik presiden,0
37,84,Pilih prabowo kalau g gt Ganjar 🎉🎉🎉,Erni Ibuke Gavi,Prabowo,Ganjar,,pilih prabowo ganjar party popper party popper party popper,1
38,85,Insya allah pak anis klo jadi presiden keluarganya ga mabuk jabatan ingat pak harto punya punya semua tapi anak2nya tetap pengusaha,Biar Sepuluh,,,Anies,insya allah anies kalo presiden keluarga mabuk jabat harto anakanaknya usaha,0
39,89,Kallo Prabowo masuk presiden Indonesia tidak aman akan di perang terus,Sensi Jeharut,Prabowo,,,kalo prabowo masuk presiden indonesia aman perang,1
40,90,Siapapun Presidennya semoga tidak cuma janji2 manis semoga ada bukti nyata & semoga Indonesia sll menjunjung tinggi Bhineka Tunggal Ika🙏🏻,Vio Ronauli,,,Anies,presiden moga janji manis moga bukti nyata moga indonesia sl junjung bhineka tunggal ika lipat tangan warna kulit cerah,0
41,91,"Maaf buat pak anis coba ngomongnya jangan kota kota trus kami ini diamnya di desa bukan dikota,dan bahasanya coba pake bahasa yg mudah di pahami kami ini orang awam",Sultan Azmi,,,Anies,maaf anies coba omong kota kota diam desa kota bahasa coba pakai bahasa mudah paham orang awam,0
42,92,"Gw pilih pa probowo bahkan dari jokowi mash jdi capres, dia tidak mengiraukan posisinya sebagai lawan partai dan ttap dengan iklas jdi mentri keamanan di era jokowi. Terlihat jelas keiklasannya beliau, cuma era jokowi tidak ada oposisi karena prabowo memilih merangkul dan menjadi bagian dari kabinet bapa jokowi terlepas dari kekecewaan semua pendukungnya dahulu. 

Aku agak kecewa karena cawapresnya Gibran, tapi klo dipikir2 emng kenapa kalo Gibran? Dia anak presiden jokowi yg mungkin aja dia punya cara pandang dan pendidikan seperti halnya jokowi, rasanya seperti prabowo bergabung dengan jokowi sendiri. Toh solo mengalami pertumbuhan ekonomi yg cukup cepat di bawah pimpinan Gibran. Indonesia juga mengalami kemajuan di era jokowi. Tidak terasa seperti negara autopilot seperti era2 sebelum jokowi.

Klo masalah dinasty jokowi menurut gw kaga sih, jokowi mundur jdi ketum partai, kaesang pindah ke PSI tidak mengikuti jejak bapany di partai yg ada badakny. Sekarang Gibran berdiri sendiri mendampingi pa prabowo. Jdi menurut gw anak2 jokowi punya prinsip dan ideologiny masing2.",mei susilawati,Prabowo,,,gue pilih probowo jokowi mash capres kirau posisi lawan partai iklas tri aman era jokowi keiklasannya beliau era jokowi oposisi prabowo pilih rangkul kabinet bapa jokowi lepas kecewa dukung kecewa cawapresnya gibran kalo pikir kalo gibran anak presiden jokowi pandang didik hal jokowi prabowo gabung jokowi solo alami tumbuh ekonomi cepat pimpin gibran indonesia alami maju era jokowi negara autopilot era jokowi kalo dinasty jokowi gue kagak sih jokowi mundur tum partai kaesang pindah psi ikut jejak bapany partai badakny gibran diri damping prabowo gue anakanak jokowi prinsip ideologiny,1
43,93,Jawa timur prabowo gibran,Robi Bendeng,Prabowo,,,jawa timur prabowo gibran,1
44,94,Pak Ganjar di tanya apa jawab apa,geminigurls,,Ganjar,,ganjar,0
45,95,"Nih gue kasi list hasil2 kerja dari pak anis ya
1. Memperluas kepesertaan BPJS masyarakat DKI dgn cara proaktif tdk menunggu dr warga sampai hampir 100%
2. Mengadakan air bersih di daerah kepulauan seribu dan jg membangun pasar induk didaerah kepulauan seribu tersbut, shingga harga pangan didaerh tsb sama rata dgn daerah lainnya di DKI
3. Melonggarkn aturan2 shingga smua UMKM lvel kecil mnengah bisa mndpatkn izin usaha shingga bsa msuk pasar online. Trmsuk melakukn pendampingn kpda org2 yg mau step2 usaha dan bantuan modal
4. Meluncurkn aplksi harga pasar shingga hrga psar di DKI jadi terkontrol
5. Membrikn krtu lansia dan kartu khusus buat disabilitas yg bsa dpt bantuan uang dan bntuan2 pada fasilitas umum
6. Mlkukn trobosn hkum utk warga tnah merah yg tlah digusur
7. Pembangunan masif trotoar dan jalur speda
8. Pembangunan taman2 dgn konsep park (bisa utk bermain) yg dlunya konsep garden (hanya bsa dinikmati))) 9. Pmbangunan JPO yg cantik yg sklian mnjdi ruang ke-3 (public space) smua kalangan
10. Mengeluarkn bnyak skli IMB rumah ibdah gereja dan rumh ibdah slain masjid krna slama ber tahun2 sangt sush dibrikn
11. Membngun rumh ibdah khusus utk umat hindu tamil pertama di jakarta
12. Membngun tmpt kremasi umum pertma bagi umat hindu karna slama ini rakyt kecil sngt sush mendpatknnya karna biaya yg sngat mahal
13. Membngun stadium megah JIS (Jakarta Internasional Stadion)
14. Membrikn insentif fiskal bagi pemilik mobil listrik brupa bebas aturan ganjil genap dan jg ada kringan pajak (bukn berupa subsidi beli mobil) 
15. Membngun skolah percontohan dgn konsep green building dgn nma skolah Net Zero
16. Merenovasi gedung TIM 
17. Menolak reklamasi pulau dan utk 2 pulau yg sudh trlnjur dibangun, skrg sudh dialih fungsikan mnjdi public space yg dlunya dibangun utk private space 
18. Mengadakan balap formula E sbg promo pariwisata sekaligus mningkatkn awareness tntng mobil masa dpan yg berbasis listrik
19. Membngun 5 lapangan bola sbg fasilitas umum dgn standar FIFA
20. Merevitalisasi kota tua Batavia
21. Membebaskan pajak bangunan  (PBB) bagi para pensiunan2 guru, purnawirawan dan para pejuang
22. Sumur resapan utk mengatasi msalah banjir, sumur resapan ini walaupun banyak yg nyinyir tapi terbukti dicontoh jg oleh kota2 lain termasuk di IKN
23. Bekerjasma dgn ptani2 di jawa dan berbgai daerah lain gunanya utk memasok kbutuhn beras di DKI shingga stok beras terjaga
Dan blum lg begitu bnyak penghargaan dari dlam negeri dan internasional yg diterima oleh pak anis slama menjabat sbg gubernur",Devita Yani Yogiswari,,,Anies,nih gue kasih list hasil kerja anies ya luas serta bpjs masyarakat dki proaktif tunggu warga ada air bersih daerah pulau ribu bangun pasar induk daerah pulau ribu tersbut shingga harga pangan didaerh daerah dki melonggarkn atur shingga umkm lvel mnengah mndpatkn izin usaha shingga masuk pasar online pendampingn kpda orangorang step usaha bantu modal meluncurkn aplksi harga pasar shingga hrga psar dki kontrol membrikn krtu lansia kartu khusus disabilitas bantu uang bntuan fasilitas mlkukn trobosn hkum warga tnah merah tlah gusur bangun masif trotoar jalur speda bangun taman konsep park main dlunya konsep garden nikmat pmbangunan jpo cantik sklian ruang ke public space kalang mengeluarkn imb rumah ibdah gereja rumah ibdah slain masjid ber tahuntahun sush dibrikn membngun rumah ibdah khusus umat hindu tamil jakarta membngun kremasi umat hindu rakyt sush mendpatknnya biaya sngat mahal membngun stadium megah jis jakarta internasional stadion membrikn insentif fiskal milik mobil listrik brupa bebas atur ganjil genap kring pajak subsidi beli mobil membngun sekolah contoh konsep green building nma sekolah net zero renovasi gedung tim tolak reklamasi pulau pulau trlnjur bangun alih fungsi public space dlunya bangun private space ada balap formula e promo pariwisata mningkatkn awarenes tntng mobil dpan bas listrik membngun lapang bola fasilitas standar fifa revitalisasi kota tua batavia bebas pajak bangun pb pensiun guru purnawirawan juang sumur resap atas banjir sumur resap nyinyir bukti contoh kota ikn bekerjasma ptani jawa berbgai daerah guna pasok kbutuhn beras dki shingga stok beras jaga harga negeri internasional terima anies jabat gubernur,0
46,97,"Waduh pak Anis gk ingat janjinya ketika jadi gubernur DKI, janji DP 0 persen, bukan menambah bagus DKI,malah di acak2,bikin resapan menjadi jebakan Bedmen.dan masih banyak lagi",Philip Haddy,,,Anies,anies janji gubernur dki janji dp persen tambah bagus dki acak bikin resap jebak bedmendan,0
47,100,Prabowo Gibran Terbaik RI 2024-2029❤❤,Kang Dendi Maulana Channel,Prabowo,,,prabowo gibran baik ri,1
48,101,pak prabowo membuat sya menangis berseduh seduh. tp aku tak bisa berpindah dr pak Anis karna memang dr dulu belum.masuk calon presiden sdh sya pilih semua saudar saudar sya pilih pak anis. kecuali papa sya dia pilih pak prabowo. tp sya jg mendokan prabowo jadi presiden.,Studio465,Prabowo,,Anies,prabowo menang seduh seduh pindah anies belummasuk calon presiden pilih saudar saudar pilih anies kecuali papa pilih prabowo dok prabowo presiden,1
49,103,siapapun yg jd presiden nya sy berhrp.brantas itu premanisme..koruptor..begal/klitih dijalan..supaya negri ini aman...,HenZ SRigala,,,Anies,presiden nya berhrpbrantas preman koruptor begalklitih jalan negeri aman,0
50,104,PRABOWO - GIBRAN ❤❤❤,Shevadiego Syani,Prabowo,,,prabowo gibran,1
51,106,"mudah""an tiap pemilu ada acara sprt ini biar qta tau siapa yg pantas jdi presiden n wakil presiden jgn asal pilih pilih Anies Baswedan n Muhaimin Iskandar ....",Agus Hidayat,,,Anies,mudahmudahan milu acara biar tau presiden n wakil presiden pilih pilih anies anies n muhaimin iskandar,0
52,108,"awalnya mau pindah ke pak anies,, tapi setelah paparan dan refleksi pak prabowo jadi makin yakin pilih beliau. jawaban yg nyata dan program yang masuk akal. Terutama ttg isu depresi dan mental health, yg harus dibenahi dari akarnya yaitu mulai dari ibu mengandung, perbaikan gizi, sehingga akan menghasilkan generasi yg kuat fisik dan mental. kesejahteraan yg merata dgn akses pendidikan yg mudah dan berkualitas sehingga tidak ada lagi istilah di ""kotak-kotak"" kan. Seru juga kalo disekolah anak ada makan siang gratis. Dari penyampaian ketiga capres saya menjadi semakin mengerti, bahwa memimpin bangsa ini bukan hanya dengan gagasan dan ide semata. Karna itu semua akan dikerjakan bersama dgn orang2 yg intelektual dan berkompeten di bidangnya, tapi kita juga butuh pemimpin dgn ketegasan, keberanian, dan nasionalisme yang tinggi utk membawa Indonesia.",suri purboyo,Prabowo,,Anies,pindah anies papar refleksi prabowo pilih beliau nyata program masuk akal isu depresi mental health benah akar kandung baik gizi hasil generasi kuat fisik mental sejahtera rata akses didik mudah kualitas istilah kotakkotak kan seru kalo seko anak makan siang gratis sampai tiga capres erti pimpin bangsa gagas ide orangorang intelektual kompeten bidang butuh pimpin tegas berani nasionalisme bawa indonesia,1
53,110,"Jangan lupa kawan kawan kata kata hanyalah kata kata belum tentu manisnya kata kata saat debat meskipun mudah dimengerti akan dengan mudah diimplementasikan, kita pilih sesuai nurani saja.",Yuliana Rahma,,,Anies,lupa kawan kawan manis debat mudah erti mudah implementasi pilih sesuai nurani,0
54,114,"Bapak Prabowo  ❤❤, Pemimpin yang ideal untuk Indonesia setelah Pak De ( Pak Jokowi)❤",Dominique Ngadu,Prabowo,,,prabowo pimpin ideal indonesia deh jokowi,1
55,115,Aku sangat antusiasi dan sangat kagum sama sosok  prabowo tda putus asah untuk memperjuangkan hak2 rakyat untuk ekonominya yg di bawah rata2 semoga sja  sosok seperti prabowo yg berani untuk memperjuangkan rakyat indonesia cara bicaranya kelihatan tegas tapi hati nuraninya bisa sy rasakan untuk indonesia lebih baik lagi aamiin,David Daviddjama,Prabowo,,,antusias kagum sosok prabowo tda putus asah juang hak rakyat ekonomi ratarata moga sosok prabowo berani juang rakyat indonesia bicara hati nurani rasa indonesia amin,1
56,118,Pilih anis ( surya paloh) pilih ganjar(megawati) cari yg memng yg bnyk modal aja capres paling kaya,Suci Relawati,,Ganjar,Anies,pilih anies surya paloh pilih ganjar megawati cari memng modal capres kayak,0
57,121,"Pak Anies,bahas mau mempermudah pembiayaan perbankan informal atau mikro jadi  mudah agar dpt menciptakan lapangan pekerjaan,niatnya si sangat bagus tapi ko jadi inget waktu dia buat dp 0% buat rumah,nyatanya buat warga DKI disana jadi susah,gw hawatir indonesian  2024 to 2029 gagal jadi negara maju cuma karna modal JANJI politik.",Ami 88,,,Anies,anies bahas mudah biaya perban informal mikro mudah cipta lapang kerja niat sih bagus dp rumah warga dki sana susah gue hawatir indonesian gagal negara maju modal janji politik,0
58,122,MAJU PRABOWO 🔥,Ciesa Mikha,Prabowo,,,maju prabowo api,1
59,123,Pendukung Pak Ganjar..Richard Gere Indonesia...mana suaranyaaaa.....😍,Febby Yanti,,Ganjar,,dukung ganjar richard gere indonesia suara wajah senyum lebar mata hati,0
60,125,"Anies presiden 2024❤❤.. 
Pemimpin yg pintar banyak prestasi dan sangat bijak dalam menjawab..
Jangan sampai kesempatan ini sia sia , jadikan orang pintar berakhlak dan berkarisma ini pemimpin bangsa..😊",AKASA CHANNEL,,,Anies,anies presiden pimpin pintar prestasi bijak sempat sia sia jadi orang pintar akhlak karisma pimpin bangsa wajah senyum dengan mata bahagia,0
61,126,The best pak prabowo❤,One Five Nine,Prabowo,,,the best prabowo,1
62,127,😂😂 pak Ganjar partai anda tuh yg harus di priksa ..ma banteng takut marah ea😂😂😂,Kang Goblek,,Ganjar,,wajah gembira urai air mata wajah gembira urai air mata ganjar partai tuh priksa banteng takut marah ya wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,0
63,128,Rata2 komennya disini kagum sm pa anies ya,Alifa TLM,,,Anies,ratarata komennya kagum anies ya,0
64,132,"Pak Anies  luar biasa....  
Semoga Ada perubahan",Motivasi Sanad tv,,,Anies,anies moga ubah,0
65,134,"Saya yakin  pak Ganjar menang KALAU tidak dari partai MERAH,",Gacor Slot,,Ganjar,,ganjar menang partai merah,0
66,153,"Jakarta di tangan pak Anies bener-bener bersahabat sama masyarakat. Transportasi dipermudah, halte dipercantik, angkot jadi lebih nyaman dgn jaklingko. Trotoar yang dulu nya dihina nyempitin jalan dll, ternyata berdampak baik buat para pejalan kaki karena mereka jadi lebih nyaman. Halte bundaran HI cantik banget pak! tapi ini bukan hanya tentang cantik, tapi konsep kesetaraan yang pak Anies gaungkan, beliau kepengen setiap warganya bisa ngerasain view indah dgn background patung selamat datang tanpa harus makan di hotel berbintang sekitar sana. trs juga taman dan ruang terbuka hijau yang kata pak Anies bisa jadi ruang ketiga alias tempat ngumpulnya masyarakat, dan alhasil orang2 jakarta jadi seneng nongkrong dan bincang-bincang disana, jakarta jauh lebih hidup. Inget banget sebelum pak Anies jadi gubernur, sepanjang jalan protokol ngga boleh motor lewat, saya kalau ke GBK aja kudu muter lewat dalem. Pas zaman bapak.. motor jd boleh lagi nikmatin jalanan dgn view gedung pencakar langit yang keren abis apalagi kalau malem. OH LUPA, di zaman bapak juga gada tuh istilah bundaran Hi tenggelem air susu coklat pak hihi. Pak Anies orang yang gencar banget ngajak masyarakat kurangi polusi kendaraan. Dan wajah baru kota tua jadi salah satu karya nya yang bikin saya kagum. inget banget se-semrawut apa kota tua dulu pak, bikin males buat kesana. tapi sekarang MasyaAllah, ada live musiknya kalau malam, lebih luas area pejalan kaki nya, bersih. Dan saya suka banget konsep kota kolaborasi ala bapak. Ngerasa diajak banget pak buat ikut andil buat benahin jakarta. Masyarakat semuanya dirangkul, se adem itu Jakarta pak. Duh, Masih banyak lagi pak yang bikin bangga. Ini saya ngetik jujur banget pak, sebangga itu bisa ngerasain jakarta era Anies Baswedan. Heran bgt sama orang yang bilang bapak ngga becus dan ngga bisa kerja. Padahal yakin sayaa mereka juga pasti udah ngerasain dampak positif hasil kerja bapak dan tim. Saya doakan pak, semoga Allah meridhoi niat ikhlas bapak untuk memimpin negeri ini. bismillah pak Amin!!",Shr,,,Anies,jakarta tangan anies benarbenar sahabat masyarakat transportasi mudah halte cantik angkot nyaman jaklingko trotoar nya hina nyempitin jalan dampak pejal kaki nyaman halte bundar hi cantik banget cantik konsep tara anies gaung beliau ken warga rasai view indah background patung selamat makan hotel bintang taman ruang buka hijau anies ruang tiga alias ngumpulnya masyarakat alhasil orangorang jakarta senang nongkrong bincangbincang sana jakarta hidup banget anies gubernur jalan protokol motor gbk kudu muter dalem pas zaman motor nikmat jalan view gedung cakar langit keren habis malam oh lupa zaman tuh istilah bundar hi tenggelem air susu coklat hihi anies orang gencar banget ajak masyarakat kurang polusi kendara wajah kota tua salah karya nya bikin kagum banget semrawut kota tua bikin malas kesana masyaallah live musik malam luas area pejal kaki nya bersih suka banget konsep kota kolaborasi ala ajak banget andil benah jakarta masyarakat rangkul adem jakarta duh bikin bangga etik jujur banget bangga rasai jakarta era anies anies heran banget orang bilang becus kerja rasai dampak positif hasil kerja tim doa moga allah meridhoi niat ikhlas pimpin negeri bismillah amin,0
67,154,Prabowo gibran R1,Putry Da gama,Prabowo,,,prabowo gibran r,1
68,156,"Gagasan GK ada manfaatnya...
Tetap kalah dgn Prabowo yg punya m.gibran SDH cukup.

M.Gibran py segalanya
Algojo paman MK 
Mentor ulung BP.presiden
Semua SDH terbukti dgn kado terindah buat sang keponakan.",Salam Gama,Prabowo,,,gagas manfaat kalah prabowo samagibran samagibran algojo paman mentor ulung bppresiden bukti kado indah sang keponakan,1
69,157,Pak Anies jadi mentri aja Pakkk....,beritasaya,,,Anies,anies tri,0
70,158,"tahun 2019 saya tidak milih prabowo,,,,2024 wajib prabowo,,,,all in prabowo",Heri Yadi,Prabowo,,,pilih prabowo wajib prabowo al prabowo,1
71,159,KITA TUNGGU TANGGAL MAINNYA DI 2024 SAVE PRABOWO N GIBRAN🎉🎉🎉🎉,Roro Harum,Prabowo,,,tunggu tanggal main save prabowo n gibran party popper party popper party popper party popper,1
72,161,cuman Pak Prabowo yang punya hati buat INDONESIA,Venti,Prabowo,,,cuman prabowo hati indonesia,1
73,162,Kenapa giliran Anies selalu yg pertama?? Yang lain enak nyontek pertanyaan dan jawaban. Yang fair donk.,santoso sediyanto,,,Anies,gilir anies enak nyontek fair,1
74,163,"Alm gusdur pernh bersaksi. Orang paling tulus kepada negara Indonesia ini adalah. Prabowo, itu terbukti dengan ketulusannya yabg tak henti berjuang. Semangat perjuangan mu pak 👍👍👍",Khae channel,Prabowo,,,almarhum gusdur pernh saksi orang tulus negara indonesia prabowo bukti tulus yabg henti juang semangat juang mu jempol ke atas jempol ke atas jempol ke atas,1
